date,all_bed,vacute_census
3/6/20,1,0
3/7/20,1,0
3/8/20,1,0
3/9/20,1,0
3/10/20,1,0
3/11/20,1,0
3/12/20,1,0
3/13/20,1,0
3/14/20,1,0
3/15/20,2,0
3/16/20,2,0
3/17/20,1,0
3/18/20,2,0
3/19/20,3,0
3/20/20,8,0
3/21/20,9,0
3/22/20,9,0
3/23/20,10,0
3/24/20,19,0
3/25/20,21,0
3/26/20,24,3
3/27/20,34,4
3/28/20,40,3
3/29/20,47,4
3/30/20,48,4
3/31/20,51,3
4/1/20,61,3
4/2/20,58,6
4/3/20,69,4
4/4/20,72,2
4/5/20,72,3
4/6/20,82,2
4/7/20,81,4
4/8/20,77,4
4/9/20,74,3
4/10/20,69,4
4/11/20,64,8
4/12/20,89,7
4/13/20,62,6
4/14/20,67,7
4/15/20,63,6
4/16/20,73,6
4/17/20,77,7
4/18/20,72,7
4/19/20,77,6
4/20/20,75,5
4/21/20,92,5
4/22/20,85,5
4/23/20,88,5
4/24/20,88,5
4/25/20,92,6
4/26/20,90,6
4/27/20,88,6
4/28/20,90,7
4/29/20,90,6
4/30/20,78,5
5/1/20,73,4
5/2/20,76,4
5/3/20,72,2
5/4/20,72,5
5/5/20,73,6
5/6/20,74,3
5/7/20,70,1
5/8/20,59,0
5/9/20,58,0
5/10/20,56,0
5/11/20,55,0
5/12/20,57,0
5/13/20,48,0
5/14/20,43,0
5/15/20,42,0
5/16/20,45,0
5/17/20,49,0
5/18/20,54,0
5/19/20,60,0
5/20/20,62,0
5/21/20,59,0
5/22/20,61,0
5/23/20,70,0
5/24/20,77,0
5/25/20,84,0
5/26/20,84,0
5/27/20,79,0
5/28/20,86,0
5/29/20,81,0
5/30/20,79,0
5/31/20,85,0
6/1/20,90,0
6/2/20,85,0
6/3/20,78,0
6/4/20,84,0
6/5/20,88,0
6/6/20,94,0
6/7/20,101,0
6/8/20,92,0
6/9/20,89,0
6/10/20,99,0
6/11/20,107,0
6/12/20,113,0
6/13/20,121,0
6/14/20,126,0
6/15/20,118,0
6/16/20,118,0
6/17/20,115,0
6/18/20,122,0
6/19/20,135,0
6/20/20,130,0
6/21/20,135,0
6/22/20,146,0
6/23/20,149,0
6/24/20,146,0
6/25/20,153,0
6/26/20,144,1
6/27/20,155,1
6/28/20,151,1
6/29/20,156,1
6/30/20,153,2
7/1/20,175,2
7/2/20,176,2
7/3/20,185,3
7/4/20,197,4
7/5/20,183,4
7/6/20,172,10
7/7/20,163,14
7/8/20,180,25
7/9/20,207,33
7/10/20,191,33
7/11/20,191,24
7/12/20,188,27
7/13/20,185,30
7/14/20,189,29
7/15/20,195,29
7/16/20,206,29
7/17/20,196,29
7/18/20,195,35
7/19/20,197,33
7/20/20,210,30
7/21/20,195,37
7/22/20,201,19
7/23/20,199,23
7/24/20,201,27
7/25/20,218,27
7/26/20,234,11
7/27/20,230,11
7/28/20,238,18
7/29/20,218,21
7/30/20,209,18
7/31/20,206,28
8/1/20,202,30
8/2/20,195,29
8/3/20,216,27
8/4/20,223,32
8/5/20,204,33
8/6/20,199,32
8/7/20,198,22
8/8/20,207,29
8/9/20,199,29
8/10/20,196,25
8/11/20,198,22
8/12/20,190,21
8/13/20,181,22
8/14/20,172,24
8/15/20,178,23
8/16/20,190,24
8/17/20,201,31
8/18/20,191,29
8/19/20,176,21
8/20/20,185,24
8/21/20,171,27
8/22/20,172,28
8/23/20,175,28
8/24/20,185,22
8/25/20,178,21
8/26/20,168,19
8/27/20,171,21
8/28/20,165,21
8/29/20,157,23
8/30/20,161,23
8/31/20,168,17
9/1/20,180,23
9/2/20,172,23
9/3/20,152,23
9/4/20,165,19
9/5/20,174,17
9/6/20,163,21
9/7/20,160,21
9/8/20,166,27
9/9/20,166,26
9/10/20,153,14
9/11/20,140,20
9/12/20,137,22
9/13/20,140,27
9/14/20,136,25
9/15/20,145,28
9/16/20,138,31
9/17/20,135,25
9/18/20,137,21
9/19/20,117,19
9/20/20,112,12
9/21/20,114,19
9/22/20,124,20
9/23/20,122,15
9/24/20,117,10
9/25/20,110,14
9/26/20,118,15
9/27/20,105,15
9/28/20,132,18
9/29/20,124,21
9/30/20,120,18
10/1/20,122,26
10/2/20,117,29
10/3/20,123,26
10/4/20,120,24
10/5/20,127,24
10/6/20,137,21
10/7/20,145,27
10/8/20,135,32
10/9/20,122,35
10/10/20,119,29
10/11/20,131,26
10/12/20,139,31
10/13/20,146,27
10/14/20,158,30
10/15/20,148,33
10/16/20,146,39
10/17/20,152,38
10/18/20,154,36
10/19/20,162,37
10/20/20,172,34
10/21/20,171,40
10/22/20,169,42
10/23/20,157,35
10/24/20,165,33
10/25/20,156,27
10/26/20,165,35
10/27/20,167,36
10/28/20,163,38
10/29/20,168,38
10/30/20,156,32
10/31/20,153,31
11/1/20,154,34
11/2/20,164,39
11/3/20,164,42
11/4/20,165,38
11/5/20,168,39
11/6/20,176,43
11/7/20,182,38
11/8/20,169,37
11/9/20,181,42
11/10/20,183,39
11/11/20,184,41
11/12/20,172,44
11/13/20,182,40
11/14/20,172,35
11/15/20,166,34
11/16/20,169,42
11/17/20,196,41
11/18/20,189,44
11/19/20,189,46
11/20/20,210,35
11/21/20,214,35
11/22/20,210,37
11/23/20,231,49
11/24/20,228,43
11/25/20,230,43
11/26/20,236,40
11/27/20,242,36
11/28/20,255,29
11/29/20,269,31
11/30/20,276,41
12/1/20,274,54
12/2/20,273,48
12/3/20,281,46
12/4/20,278,55
12/5/20,280,49
12/6/20,282,54
12/7/20,288,59
12/8/20,294,59
12/9/20,288,60
12/10/20,285,60
12/11/20,302,60
12/12/20,279,65
12/13/20,302,65
12/14/20,324,77
12/15/20,350,68
12/16/20,360,83
12/17/20,347,85
12/18/20,363,86
12/19/20,355,88
12/20/20,375,86
12/21/20,392,99
12/22/20,410,88
12/23/20,439,83
12/24/20,451,80
12/25/20,444,78
12/26/20,436,75
12/27/20,434,71
12/28/20,459,72
12/29/20,476,77
12/30/20,499,70
12/31/20,482,74
1/1/21,489,67
1/2/21,495,60
1/3/21,519,77
1/4/21,535,73
1/5/21,546,95
1/6/21,560,94
1/7/21,565,91
1/8/21,566,87
1/9/21,556,84
1/10/21,556,84
1/11/21,575,91
1/12/21,567,110
1/13/21,581,113
1/14/21,580,120
1/15/21,557,122
1/16/21,546,124
1/17/21,555,115
1/18/21,561,125
1/19/21,547,128
1/20/21,533,127
1/21/21,506,124
1/22/21,504,126
1/23/21,469,114
1/24/21,449,113
1/25/21,458,110
1/26/21,469,112
1/27/21,461,117
1/28/21,432,128
1/29/21,389,118
1/30/21,372,104
1/31/21,352,97
2/1/21,354,109
2/2/21,311,108
2/3/21,331,110
2/4/21,317,104
2/5/21,308,101
2/6/21,307,98
2/7/21,291,92
2/8/21,272,88
2/9/21,275,89
2/10/21,265,91
2/11/21,272,89
2/12/21,275,81
2/13/21,256,88